"","species","month","df","AIC","dAIC"
"1","cat","6",223.25008130455,3732.67989771282,0
"2","cat","12",221.046786503595,3733.39176009966,0.711862386843677
"3","cat","18",221.046776521389,3733.39246021125,0.712562498429634
"4","cat","24",221.04700018231,3733.39262089097,0.712723178150554
"5","fox","6",248.082957845536,4150.14178937481,0
"6","fox","18",248.874146063098,4151.57240524181,1.43061586699696
"7","fox","24",250.755028018027,4156.49041506802,6.34862569320831
"8","fox","12",251.369827384103,4158.2001345019,8.05834512709043
"9","LNP","12",261.797682575409,1577.71256064603,0
"10","LNP","18",264.037324181456,1581.1889805597,3.47641991366299
"11","LNP","24",263.691136448656,1581.33651356815,3.62395292211249
"12","LNP","6",265.218469363022,1582.9585367236,5.24597607756596
"13","SBB","6",189.450185260479,1868.55484258879,0
"14","SBB","24",189.451144244343,1868.55783591519,0.0029933263986095
"15","SBB","18",192.43865714595,1874.09871207344,5.54386948464457
"16","SBB","12",194.26408347976,1877.49407330283,8.93923071404402
